receptor,0.0s,0.5s,1.0s,1.5s,odour,glomerulus
Or7a,0.5127430555555555,-0.04861111111111111,-0.025451388888888888,-0.021979166666666668,apple at 10-4,DL5
Or35a,0.4097222222222222,0.12385416666666667,0.052083333333333336,0.04052083333333333,apple at 10-4,VC3
Or67a,0.1388888888888889,0.004618055555555556,0.006944444444444444,0.002326388888888889,apple at 10-4,DM6
Or22a,0.28125,0.004618055555555556,0.0115625,-0.003472222222222222,apple at 10-4,DM2
Or47a,0.12961805555555556,0.0,-0.003472222222222222,0.003472222222222222,apple at 10-4,DM3
Or98a,0.27197916666666666,0.05440972222222222,0.021979166666666668,0.008090277777777778,apple at 10-4,VM5v
Or10a,0.28239583333333335,0.005798611111111111,0.003472222222222222,0.006944444444444444,apple at 10-4,DL1
Or43b,0.049756944444444444,0.004618055555555556,-0.0011458333333333333,0.0,apple at 10-4,VM2
Or85a,0.035868055555555556,0.012743055555555556,-0.0011458333333333333,0.018506944444444444,apple at 10-4,DM5
Or82a,0.12267361111111111,0.08680555555555555,0.052083333333333336,0.020833333333333332,apple at 10-4,VA6
Or59b,0.009270833333333332,0.004618055555555556,0.003472222222222222,0.004618055555555556,apple at 10-4,DM4
Or9a,0.03125,-0.0011458333333333333,0.005798611111111111,0.008090277777777778,apple at 10-4,VM3
Or19a,0.06711805555555556,0.026631944444444444,-0.002326388888888889,0.009270833333333332,apple at 10-4,DC1
Or23a,-0.004618055555555556,0.005798611111111111,0.04746527777777778,0.03704861111111111,apple at 10-4,DA3
Or67c,0.016215277777777776,0.012743055555555556,0.0115625,0.003472222222222222,apple at 10-4,VC4
Or43a,0.008090277777777778,0.03704861111111111,0.002326388888888889,-0.003472222222222222,apple at 10-4,DA4l
Or65a,0.0625,0.017361111111111112,-0.002326388888888889,-0.008090277777777778,apple at 10-4,DL3
Or2a,0.004618055555555556,-0.0115625,0.0,-0.005798611111111111,apple at 10-4,DA4m
Or85f,0.04513888888888889,0.013888888888888888,-0.003472222222222222,0.003472222222222222,apple at 10-4,DL4
Or33b,0.0,-0.010416666666666666,0.017361111111111112,0.02315972222222222,apple at 10-4,DM5+DM3
Or49b,0.004618055555555556,0.010416666666666666,-0.005798611111111111,0.0,apple at 10-4,VA5
Or88a,-0.009270833333333332,-0.009270833333333332,0.008090277777777778,0.009270833333333332,apple at 10-4,VA1d
Or47b,-0.034722222222222224,-0.015034722222222222,-0.005798611111111111,0.0,apple at 10-4,VA1v
